"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 24 20:14:23 MSK 2021","Wed Feb 24 20:14:26 MSK 2021","2408","test","test_add_group","","","","test_add_group[None:nameldyby':headerI2:footerP T Dp06]",""
"passed","Wed Feb 24 20:14:19 MSK 2021","Wed Feb 24 20:14:23 MSK 2021","3676","test","test_add_group","","","","test_add_group[None:nameldyby:headerI2:footerP T Dp06]",""
